,4,1,0,2,3,5,6,8,7
CEP104,28.0,22.0,153.0,14.0,40.0,9.0,7.0,1.0,1.0
DFFB,5.0,11.0,22.0,0.0,4.0,3.0,1.0,3.0,0.0
C1orf174,33.0,71.0,119.0,26.0,38.0,24.0,10.0,5.0,4.0
AJAP1,1.0,51.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
NPHP4,3.0,10.0,21.0,1.0,3.0,2.0,2.0,0.0,0.0
KCNAB2,6.0,9.0,22.0,1.0,101.0,31.0,0.0,1.0,1.0
RPL22,2098.0,3417.0,8391.0,2835.0,3181.0,1949.0,1366.0,415.0,295.0
RNF207,11.0,4.0,31.0,2.0,2.0,1.0,1.0,0.0,0.0
ICMT,52.0,54.0,193.0,51.0,37.0,10.0,10.0,4.0,5.0
GPR153,1.0,30.0,17.0,1.0,2.0,3.0,5.0,0.0,0.0
ACOT7,15.0,12.0,52.0,2.0,10.0,12.0,2.0,2.0,1.0
AL031848.2,9.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,1.0
TNFRSF25,25.0,10.0,163.0,3.0,19.0,44.0,8.0,0.0,1.0
PLEKHG5,19.0,2.0,96.0,3.0,11.0,0.0,3.0,0.0,0.0
NOL9,45.0,50.0,126.0,8.0,25.0,15.0,11.0,3.0,3.0
ZBTB48,15.0,34.0,54.0,15.0,26.0,4.0,11.0,0.0,1.0
KLHL21,12.0,56.0,57.0,34.0,112.0,12.0,16.0,3.0,4.0
PHF13,10.0,59.0,71.0,6.0,10.0,8.0,6.0,3.0,1.0
THAP3,42.0,104.0,123.0,37.0,15.0,3.0,15.0,0.0,3.0
DNAJC11,24.0,32.0,80.0,15.0,29.0,8.0,12.0,2.0,1.0
CAMTA1,263.0,303.0,832.0,405.0,124.0,46.0,66.0,8.0,32.0
VAMP3,175.0,267.0,649.0,104.0,167.0,18.0,64.0,7.0,11.0
PER3,153.0,369.0,546.0,45.0,48.0,6.0,39.0,0.0,5.0
TNFRSF9,0.0,0.0,1.0,0.0,13.0,5.0,3.0,0.0,0.0
PARK7,632.0,1414.0,2368.0,1597.0,513.0,256.0,324.0,82.0,151.0
AL034417.3,7.0,29.0,33.0,1.0,6.0,2.0,2.0,0.0,0.0
ERRFI1,37.0,129.0,140.0,14.0,16.0,2.0,31.0,1.0,6.0
AL034417.2,10.0,1.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0
SLC45A1,7.0,11.0,60.0,1.0,2.0,0.0,2.0,0.0,0.0
RERE,107.0,154.0,557.0,55.0,119.0,37.0,23.0,12.0,5.0
ENO1,243.0,677.0,1001.0,115.0,757.0,174.0,106.0,48.0,13.0
SLC2A5,0.0,5.0,0.0,25.0,3.0,0.0,1.0,1.0,0.0
GPR157,9.0,28.0,29.0,15.0,10.0,1.0,2.0,0.0,8.0
H6PD,47.0,156.0,214.0,16.0,36.0,9.0,22.0,1.0,3.0
SPSB1,8.0,120.0,44.0,11.0,13.0,3.0,11.0,0.0,1.0
SLC25A33,30.0,54.0,108.0,57.0,80.0,28.0,15.0,2.0,7.0
TMEM201,17.0,3.0,45.0,11.0,8.0,1.0,4.0,0.0,1.0
PIK3CD,7.0,1.0,12.0,2.0,93.0,24.0,5.0,3.0,0.0
CLSTN1,100.0,208.0,468.0,12.0,78.0,39.0,18.0,7.0,2.0
CTNNBIP1,227.0,120.0,1241.0,66.0,103.0,16.0,58.0,4.0,4.0
LZIC,63.0,163.0,230.0,73.0,59.0,18.0,33.0,3.0,12.0
NMNAT1,12.0,20.0,57.0,26.0,18.0,4.0,4.0,1.0,1.0
RBP7,364.0,109.0,1758.0,64.0,219.0,4.0,52.0,3.0,9.0
UBE4B,30.0,46.0,90.0,11.0,43.0,15.0,9.0,3.0,4.0
KIF1B,99.0,162.0,477.0,126.0,214.0,16.0,45.0,2.0,18.0
PGD,13.0,50.0,41.0,13.0,155.0,11.0,7.0,3.0,2.0
CENPS,6.0,12.0,15.0,9.0,0.0,2.0,1.0,1.0,1.0
DFFA,53.0,108.0,207.0,26.0,51.0,17.0,14.0,8.0,4.0
PEX14,8.0,34.0,40.0,16.0,11.0,7.0,6.0,0.0,1.0
CASZ1,32.0,14.0,186.0,11.0,15.0,9.0,7.0,0.0,2.0
TARDBP,64.0,64.0,257.0,28.0,73.0,24.0,38.0,3.0,4.0
SRM,117.0,328.0,412.0,286.0,70.0,54.0,80.0,25.0,24.0
